1-byte 	1-byte character ma ky tu 1 bai
1-byte character code	1-byte character code (Tech) ma ky tu 1 bai
1-byte character set	1-byte character set (Tech) bo ky tu 1 bai
1-byte character string	1-byte character string (Tech) chuoi ky tu 1 bai
1 to 1 relationship	1 to 1 relationship (Tech) quan he 1 doi 1
1 to many relationship	1 to many relationship (Tech) quan he 1 doi nhieu
2-way device	2-way device (Tech) thiet bi 2 chieu/thu phat
2D configuration	2D configuration (Tech) cau hinh 2 chieu, cau hinh phang
2D image	2D image (Tech) anh 2 chieu, anh phang
2D module   two-dimensional module	2D module   two-dimensional module (Tech) mo dun hai chieu
2D (two dimension)	2D (two dimension) (Tech) hai chieu, nhi thu nguyen, phang
3D (three dimension)	3D (three dimension) (Tech) ba chieu, tam thu nguyen, noi
3D (three dimension) calculation	3D (three dimension) calculation (Tech) tinh toan 3 chieu
3D (three dimension) configuration	3D (three dimension) configuration (Tech) cau hinh 3 chieu, cau hinh noi
3D (three dimension) image	3D (three dimension) image (Tech) anh 3 chieu, anh noi   stereoscopic image
4th Generation Language (4GL)	4th Generation Language (4GL) (Tech) Ngon ngu The he Thu tu
7-bit ASCII code	7-bit ASCII code (Tech) ma ASCII 7 bit
7-bit ASCII code set	7-bit ASCII code set (Tech) bo ma ASCII 7 bit
8-bit character	8-bit character (Tech) ky tu 8 bit
8-bit character code	8-bit character code (Tech) ma ky tu 8 bit
8-bit character set	8-bit character set (Tech) bo ky tu 8 bit
8-bit character string	8-bit character string (Tech) chuoi ky tu 8 bit
8-bit microcomputer	8-bit microcomputer (Tech) may vi dien toan 8 bit, may vi tinh 8 bit [TN]
8-bit microprocessor	8-bit microprocessor (Tech) bo vi xu ly 8 bit
8-bit personal computer	8-bit personal computer (Tech) may dien toan ca nhan 8 bit
a	a c (vt cua account current) tai khoan vang lai (tuc la bang sec) co nghia giong nhu nghia cua account
A A	aa (Alcoholics Anonymous) Hoi cai ruou (Automobile Association) Hoi o to
A A A	aaa (Amateur Athletic Association) Hoi the thao khong chuyen (American Automobile Association) Hiep hoi xe hoi My
a b c	a b c   danh tu bang chu cai khai niem co so, co so a_b_c of chemistry  khai niem co so ve hoa hoc, co so hoa hoc (nganh duong sat) bang chi duong theo abc
a b c - book	a b c - book   danh tu sach vo long, sach hoc van
a-bomb	a-bomb   danh tu bom nguyen tu
A-D	A-D   A/D   a-d (analog-to-digital) (Tech) doi  dang song (dang tuong tu) sang dang so
a.d.	a.d.   (viet tat) cua Ano Domin sau cong nguyen 1540 a.d.  nam 1540 sau cong nguyen
a.d.c	a.d.c (vt cua aide-de-camp) su quan phu ta
A-D conversion	A-D conversion (Tech) doi song (tuong tu) - so
A-D converter circuit	A-D converter circuit (Tech) mach doi song-so
A except B gate	A except B gate (Tech) cong A loai tru B
a font	a font   pho tu thau triet, can ke, ro ngon nghanh
a fortiori	a fortiori   pho tu huong ho, huong la a fortiori lai cang
a-going	a-going   tinh tu &amp; pho tu dang chay, dang chuyen dong; dang hoat dong, dang tien hanh to set a-going  cho chuyen dong, cho chay (may...)
A ignore B gate	A ignore B gate (Tech) cong A khong biet B
A implies B gate	A implies B gate (Tech) cong A bao ham B
a la carte	a la carte   pho tu theo mon, goi theo mon, dat theo mon to dine a_la_carte  an com goi theo mon
a la mode	a la mode   pho tu hop thoi trang, dung mot
a.m	a.m (vt)(radio)viet tat cua amplitude modulation) bien dieu bien do &lt;My&gt; (vt cua Master of Arts) cao hoc van chuong (vt cua tieng Latinh Antemeridian) sang, truoc ngo
a.m.	a.m.   pho tu (xem) ante_meridiem
a-ok	a-ok tinh tu &lt;My,khng&gt; giong nhu OK nhan manh
a-pac-thai	a-pac-thai danh tu apartheid
a-plenty	a-plenty   pho tu (tu My,nghia My) nhieu, doi dao, phong phu
a-point	a-point (giai tich) a- diem
a posteriori	a posteriori   pho tu &amp; tinh tu theo phep quy nap method a_posteriori  phuong phap quy nap hau nghiem probability a_posteriori  (toan hoc) xac suat hau nghiem a posteriori hau nghiem
a-power	a-power   danh tu nang luong nguyen tu cuong quoc nguyen tu
a priori	a priori   danh tu &amp; pho tu theo cach suy dien, theo cach dien dich tien nghiem probability a_priori  (toan hoc) xac xuat tien nghiem a priori tien nghiem
a-road	a-road danh tu duong lon, khong quan trong bang xa lo, nhung rong va thang hon duong loai B
a.s.a.p.	asap (viet tat) cang som cang tot (As soon as possible)
A shares	A shares (Econ) Co phieu A.(Co phieu huong lai sau).  Xem FINANCIAL CAPITAL.
a-side	a-side danh tu mat chinh cua dia hat
A W O L	awol   tinh tu (quan su) nghi khong duoc phep, nghi khong xin phep
A4-size	A4-size (Tech) kho giay A4 (21 cm x 29.7 cm)
aa	aa (Alcoholics Anonymous) Hoi cai ruou (Automobile Association) Hoi o to
aaa	aaa (Amateur Athletic Association) Hoi the thao khong chuyen (American Automobile Association) Hiep hoi xe hoi My
aard-wolf	aard-wolf   danh tu (dong vat hoc) cho soi dat (Nam Phi)
aardvark	aardvark danh tu (dong vat) lon dat
aardvarks	aardvark danh tu (dong vat) lon dat
aardwolf	aardwolf danh tu &lt;dong&gt; cho soi dat (Nam Phi)
aardwolves	aardwolf danh tu &lt;dong&gt; cho soi dat (Nam Phi)
aasvogel	aasvogel   danh tu (dong vat hoc) con ken ken (Nam Phi)
